,created_at,neg,neu,pos
0,06/27/2022,0.0644885691039112,0.6204473206578986,0.3150640867553325
1,06/28/2022,0.056398973716022135,0.5283823310161392,0.41521869065929534
2,06/29/2022,0.04558978496151259,0.5395693888209263,0.41484082796462546
3,06/30/2022,0.056621727647493,0.4369802957511625,0.5063979802852466
4,07/01/2022,0.07240195522801719,0.5555011759054158,0.37209686854853
5,07/02/2022,0.056624772234670676,0.5872278884212363,0.35614734140066234
6,07/03/2022,0.06664763347687284,0.46478491726232835,0.46856743842546067
7,07/04/2022,0.11958041779115806,0.5312863482355784,0.3491332289255716
8,07/05/2022,0.10513987185312706,0.4592559893687796,0.43560414541083825
9,07/06/2022,0.0698792433532416,0.506561839649454,0.4235589152860939
10,07/08/2022,0.03574353218405019,0.4700484708767026,0.49420800667741954
11,07/09/2022,0.0515975443847511,0.5305035550374853,0.4178988972400986
12,07/10/2022,0.1227945054604365,0.501206761655604,0.37599873895375424
13,07/11/2022,0.15091893325847894,0.536544650088967,0.31253640725595006
14,07/12/2022,0.05992111169826558,0.5162273926832942,0.42385147644756777
15,07/13/2022,0.04906553754986588,0.5426370087683636,0.4082974468644629
16,07/14/2022,0.044241346156974164,0.5964755563186855,0.35928312165377385
17,07/15/2022,0.2404109627197133,0.4229712771359192,0.3366177498832592
18,07/16/2022,0.06433620930213303,0.5777322839218239,0.3579315121706219
19,07/17/2022,0.07700256402097522,0.33854745433990363,0.5844499731199703
20,07/18/2022,0.04797391526793814,0.5054025451175963,0.4466235463194169
21,07/19/2022,0.0691359728460232,0.5413099107386377,0.3895540986593781
22,07/20/2022,0.06105538024996763,0.5473052781306018,0.3916393469120282
23,07/21/2022,0.06970015802754907,0.5331496861734174,0.3971501445070619
24,07/22/2022,0.06613144186474569,0.5915864111640202,0.34228216916949566
25,07/23/2022,0.03365551425123072,0.6474040144284859,0.31894049516742173
26,07/24/2022,0.062479876373601036,0.5422467727981882,0.3952733502422411
27,07/25/2022,0.06777555298612159,0.456159022226636,0.4760654311926818
28,07/26/2022,0.058231790545928294,0.5176182342406284,0.424149976388453
29,07/27/2022,0.05939958534710481,0.5152016438919708,0.4253987775948009
30,07/28/2022,0.052976417558545034,0.5698383283243039,0.37718526163165605
31,07/29/2022,0.05957806142246919,0.5264859928754285,0.41393593333393547
32,07/30/2022,0.05410999650867984,0.4601575233733388,0.4857324906990227
